vice_royalty_kingdom_of_hispanic;Exarchate of;;;;;;;;;x 
baron_african;Nobilus;;;;;;;;;x 
baron_female_african;Nobilia;;;;;;;;;x 
barony_of_african;Castra of;;;;;;;;;x 
city_baron_african;Curator;;;;;;;;;x 
count_african;Comes;;;;;;;;;x 
count_female_african;Comitissa;;;;;;;;;x 
county_of_african;Comitatus of;;;;;;;;;x 
city_count_african;Prefect;;;;;;;;;x 
duke_african;Dux;;;;;;;;;x 
duke_female_african;Ducissa;;;;;;;;;x 
duchy_of_african;Ducate of;;;;;;;;;x 
city_duke_of_african;Proconsul;;;;;;;;;x 
city_duchy_of_african;Province of;;;;;;;;;x 
king_african;Rex;;;;;;;;;x 
king_female_african;Regina;;;;;;;;;x 
city_king_african;Consul;;;;;;;;;x 
city_kingdom_of_african;Republic of;;;;;;;;;x 
emperor_african;Imperator;;;;;;;;;x 
emperor_female_african;Imperatrix;;;;;;;;;x 
city_emperor_african;Princeps;;;;;;;;;x 
city_empire_of_african;Republic of;;;;;;;;;x 
vice_royalty_count_african;Rector;;;;;;;;;x 
vice_royalty_count_female_african;Rectrix;;;;;;;;;x 
vice_royalty_county_of_african;Coventus of;;;;;;;;;x 
vice_royalty_duke_african;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_african;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_african;Province of;;;;;;;;;x 
vice_royalty_king_african;Exarch;;;;;;;;;x 
vice_royalty_king_female_african;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_african;Exarchate of;;;;;;;;;x 
e_western;Western Empire;;;;;;;;;x 
e_western_adj;Western Roman;;;;;;;;;x 
form_foderati;Form the Imperial Foderati;;;;;;;;;x 
form_foderati_desc;Since the time of Augustus, Rome has employed barbarians as bodyguards. Although they are uncivilised, they are loyal and ferocious. If you have the necessary funds, you could recruit veteran foederati into a new bodyguard unit.;;;;;;;;;x 
form_scholae;Form the Scholae Palatinae;;;;;;;;;x 
form_scholae_desc;The Scholae Palatinae were originally established as the successors to the Praetorian Guard under Constantine. The Scholae largely disappeared after the fall of Rome, but you could reform them if you have the necessary funds.;;;;;;;;;x 
title_prince_gallic;Princeps;;;;;;;;;x 
title_prince_female_gallic;Principissa;;;;;;;;;x 
title_prince_hispanic;Princeps;;;;;;;;;x 
title_prince_female_hispanic;Principissa;;;;;;;;;x 
title_prince_african;Princeps;;;;;;;;;x 
title_prince_female_african;Principissa;;;;;;;;;x 
qaisar;Qaisar;;;;;;;;;x 
qaisar_desc;This character is the ruler of Imperial Rum, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
qaisara;Qaisara;;;;;;;;;x 
qaisara_desc;This character is the ruler of Imperial Rum, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
k_cilicia;Cilicia;;;;;;;;;x 
k_cilicia_adj;Cilician;;;;;;;;;x 
imperator;Imperator;;;;;;;;;x 
imperator_desc;This character is the ruler of the restored Western Roman Empire, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
imperatrix;Imperatrix;;;;;;;;;x 
imperatrix_desc;This character is the ruler of the restored Western Roman Empire, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
RETTYPE_NAT_MAC;Hoplite;;;;;;;;;x 
RETTYPE_NAT_MAC2;Companion;;;;;;;;;x 
RETTYPE_CUL_IRAN;Paighan;;;;;;;;;x 
RETTYPE_GEN_RAID;Raiders;;;;;;;;;x 
EVTDESCPA.10313;You are the current ruler of Imperial Rum. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10314;You are the no longer the ruler of Imperial Rum. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10315;You are the current ruler of Imperial Rum. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10316;You are the no longer the ruler of Imperial Rum. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10317;You are the current ruler of the Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10318;You are the no longer the ruler of the Western Roman Empire. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10319;You are the current ruler of Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10320;You are the no longer the ruler of the Western Roman Empire. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
revive_roman_culture2;Revive Roman Culture;;;;;;;;;x 
revive_roman_culture2_desc;Rome has been restored to its former glory, but its once rich language and culture is dead. You can attempt to restore it if you wish.;;;;;;;;;x 
restore_ostrogothia;Restore the Ostrogothic Kingdom.;;;;;;;;;x 
restore_ostrogothia_desc;With our control over Taurica now without question, we may reform our ancient kingdom.;;;;;;;;;x 
migrate_to_italy;Migrate to Italy;;;;;;;;;x 
migrate_to_italy_desc;The time has come to abandon our ancient home, and, like our ancestors under Theodoric, begin the trek to Italy.;;;;;;;;;x 
restore_ostrogothia2;Restore the Ostrogothic Kingdom;;;;;;;;;x 
restore_ostrogothia2_desc;With our control over Italy now without question, we may reform our ancient kingdom.;;;;;;;;;x 
incorporate_sicily;Incorporate Sicily;;;;;;;;;x 
incorporate_sicily_desc;With Sicily now firmly under our control, we may incorporate it into our great kingdom.;;;;;;;;;x 
CB_NAME_IMPERIAL4;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL4;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest4_desc;The territory of the Gallic Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_IMPERIAL5;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL5;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest5_desc;The territory of the Palmyrene Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
c_philadelphia;Philadelphia;;;;;;;;;x 
c_kotyaion;Kotyaion;;;;;;;;;x 
b_kotyaion;Kotyaion;;;;;;;;;x 
PROV750;Sangarios;;;;;;;;;x 
PROV748;Philadelphia;;;;;;;;;x 
PROV742;Nikaea;;;;;;;;;x 
c_nikaea;Nikaea;;;;;;;;;x 
b_nikaea;Nikaea;;;;;;;;;x 
b_chonae;Chonae;;;;;;;;;x 
b_thebasion;Thebasion;;;;;;;;;x 
b_armenokastron;Armenokastron;;;;;;;;;x 
b_leukai;Leukai;;;;;;;;;x 
b_lamounia;Lamounia;;;;;;;;;x 
b_doris;Doris;;;;;;;;;x 
b_geyve;Geyve;;;;;;;;;x 
b_tarsia;Tarsia;;;;;;;;;x 
britonic;Britonic;;;;;;;;;x 
AUGUR;Augur;;;;;;;;;x 
EVTNAMEPA.10328;Fall of Trebizond;;;;;;;;;x 
EVTDESCPA.10328;The great Empire of Trebizond has fallen. With the loss of Trebizond itself to foreign powers, the Empire has completely collapsed. Although the unity of the Pontic Greeks has been shattered for now, the future may see it return.;;;;;;;;;x 
form_golden_horde;Form the Golden Horde;;;;;;;;;x 
form_golden_horde_desc;Formally break off from the Mongol Empire and assume your imperial throne.;;;;;;;;;x 
form_ilkhanate;Form the Ilkhanate;;;;;;;;;x 
form_ilkhanate_desc;Form the Ilkhanate.;;;;;;;;;x 
form_golden_horde2;Declare Independence;;;;;;;;;x 
form_golden_horde2_desc;Formally break off from the Mongol Empire and assume your imperial throne.;;;;;;;;;x 
form_ilkhanate2;Declare Independence;;;;;;;;;x 
form_ilkhanate2_desc;Formally break off from the Mongol Empire and assume your imperial throne.;;;;;;;;;x 
PROV1466;Lemnos;;;;;;;;;x 
c_lemnos;Lemnos;;;;;;;;;x 
b_kastro;Kastro;;;;;;;;;x 
b_moudros;Moudros;;;;;;;;;x 
b_romanou;Romanou;;;;;;;;;x 
c_amorion;Amorion;;;;;;;;;x 
b_amorion;Amorion;;;;;;;;;x 
PROV749;Amorion;;;;;;;;;x 
d_jordan;Jordan;;;;;;;;;x
d_jordan_adj;Jordanian;;;;;;;;;x
d_zhu_dabi;Zhu Dabi;;;;;;;;;x
ERA_CHAR_NAME_465527;Michael VIII;;;;;;;;;x
ERA_CHAR_INFO_465527;Born in 1223, Michael VIII rose to throne shortly after the death of Theodore II. Crowning himself co-emperor, he nominally ruled alongside Theodore's son and heir, John IV, for whom he acted as regent. Michael famously led the Byzantine army to victory over a coalition of Latin forces near Pelagonia in 1259, opening the way to Constantinople. Shortly after the capture of the city, Michael ordered John IV blinded and sent to a monestry, in what was seen as an act of extreme barbarism, which would later come to haunt his sucessors. Although Michael succeded in recovering much of Greece, his rivalry with King Charles of Sicily alienated the West, denying the Empire the support it would need in the future.;;;;;;;;;x
