#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
EVTDESC91213;While there are always those who moan and mutter about the need to continually better oneself and strive for improvement, you are quite content with the way things are now. The land is yours to rule, you have a beautiful palace and the sun still shines warmly.;;;;;;;;;x 
EVTOPTA91213;There is not a single thing I would change.;;;;;;;;;x 
EVTDESC91214;Justice and the rule of law do not interest you, unless they happen to coincide with your own sense of how things should be. Many of your subjects are grumbling about how you seem to hold yourself above the laws they have to observe.;;;;;;;;;x 
EVTOPTA91214;I AM the law.;;;;;;;;;x 
EVTDESC91215;Your cynical view of all religious matters has resulted in you only observing those elements of the Muslim faith you find convenient and ignoring the rest. Some of your subjects are muttering about this lack of piousness on your part.;;;;;;;;;x 
EVTOPTA91215;Oh, let them mutter.;;;;;;;;;x 
EVTDESC91216;You suspect everyone around you of treachery, to the point where your servants and staff are terrified of even breathing in your presence. The size and influence of your palace guard has increased tenfold as everything, good or bad, has to pass through them before reaching you.;;;;;;;;;x 
EVTOPTA91216;They will not catch me unawares.;;;;;;;;;x 
EVTDESC91217;You take great pleasure in inflicting cruel punishments on your servants and subjects. If there is no reason to punish them, you find it easy enough to invent one.;;;;;;;;;x 
EVTOPTA91217;I will teach you not to blink so much in my presence...;;;;;;;;;x 
EVTDESC91218;You always seem to be thinking several steps ahead of the people near you. There are few people alive who can match your mental prowess, and when your intellect is focused on a single problem, people know a solution will be found.;;;;;;;;;x 
EVTOPTA91218;Allah (glorified and exalted be He) does not play dice.;;;;;;;;;x 
EVTDESC91219;Your decision to put aside your carnal desires and lead a life of celibacy is applauded by the people, either because they admire your sacrifice or because they are relieved you are less likely to procreate.;;;;;;;;;x 
EVTOPTA91219;I did it for you!;;;;;;;;;x 
EVTDESC91220;As a dedicated scholar, you have gained many valuable insights from all the tomes you have studied. From the Quran to ancient treatises on farming techniques and history, there is great wisdom to be found in all.;;;;;;;;;x 
EVTOPTA91220;There is so much to learn.;;;;;;;;;x 
EVTDESC91221;Your chaste and virtuous lifestyle is held as an example even far beyond the borders of those lands belonging to you. If only all men lived thus.;;;;;;;;;x 
EVTOPTA91221;The world would be a better place.;;;;;;;;;x 
EVTDESC91222;Where other rulers often abuse their positions and give in to excess, you have always valued moderation in all things. This quality is admired by the people you rule.;;;;;;;;;x 
EVTOPTA91222;Indulgence leads to weakness.;;;;;;;;;x 
EVTDESC91223;You are always ready to give to those less fortunate than yourself, and when a rockslide destroyed the homes of several poor families in [Root.Location.GetName], you offered them temporary lodgings in your palace.;;;;;;;;;x 
EVTOPTA91223;Every day the sun rises, charity is due on every joint of a person.;;;;;;;;;x 
EVTDESC91224;Your tireless and diligent work as their ruler has not gone unnoticed by your people. Some have dubbed you 'He Who Appears Everywhere' and claim you possess supernatural powers to exist in more than one place at once.;;;;;;;;;x 
EVTOPTA91224;I have never been afraid of a little hard work.;;;;;;;;;x 
EVTDESC91225;You have become renowned for your kind rule, and your people love you for it. There are those who would call you soft, but even they are impressed by the devotion your subjects show you.;;;;;;;;;x 
EVTOPTA91225;The carrot, not the stick.;;;;;;;;;x 
EVTDESC91226;Your ability to plan for the long-term and see the big picture has served you well as a ruler. Future generations will thank you for the work you do today!;;;;;;;;;x 
EVTOPTA91226;Great things come to those who wait.;;;;;;;;;x 
EVTDESC91227;You always strive to be humble, never forgetting the roots of yourself and your ancestors. There are many lessons from the past that must still be heeded today.;;;;;;;;;x 
EVTOPTA91227;I will not forget.;;;;;;;;;x 
EVTDESC91228;Your honest nature and tendency to speak what is on your mind has ruffled a few feathers in the past, but it has also earned you great respect. People know that your words ring true.;;;;;;;;;x 
EVTOPTA91228;The truth is the truth.;;;;;;;;;x 
EVTDESC91229;Your enemies would accuse you of many things, but not even they would label you a coward. It is well known that you are fearless and always willing to share the dangers faced by your men.;;;;;;;;;x 
EVTOPTA91229;Never give in to fear.;;;;;;;;;x 
EVTDESC91230;You are an ambitious man, always striving to improve and do better. The people know this, and though some of your decisions may be unpopular, they are usually at least seen as progressive.;;;;;;;;;x 
EVTOPTA91230;Why settle for mediocrity?;;;;;;;;;x 
EVTDESC91231;Just and fair in all things, your people rest easy in the knowledge that no matter what, you can always be depended on to observe the rule of law.;;;;;;;;;x 
EVTOPTA91231;Law should govern.;;;;;;;;;x 
EVTDESC91232;No one can question your devotion to Allah and the teachings of his Prophet (peace be upon him). You can always be counted on to put your faith ahead of yourself.;;;;;;;;;x 
EVTOPTA91232;Laa ilaha ilallah!;;;;;;;;;x 
EVTDESC91233;You have proven your devotion to Allah (may He be glorified and exalted) by making war against the enemies of Islam. As one of the mujahideen, you are acknowledged to have fought in a Jihad.;;;;;;;;;x 
EVTOPTA91233;The best jihad is the one in which your horse is slain and your blood is spilled.;;;;;;;;;x 
EVTDESC91234;You have completely memorized the Quran, an accomplishment that not only shows your devotion to Allah (glorified and exalted be He), but which has also won you great respect as a ruler.;;;;;;;;;x 
EVTOPTA91234;It was not easy.;;;;;;;;;x 
EVTDESC91235;It is a well known fact that you have completed the Hajj and thus shown your submission and devotion to Allah (may He be glorified and exalted). Whatever else they may say about you, no one can take this away.;;;;;;;;;x 
EVTOPTA91235;It was my duty.;;;;;;;;;x 
EVTDESC105250;Being the Food Taster for [Root.Liege.GetTitledFirstName] can be a dangerous job. I am supposed to taste the food and drink to be served to [Root.Liege.GetHerHim] to make sure it is safe to eat, not poisonous or tastes strange. Lately, I have been secretly trying to become immune to different poisons for I am under the grip of the fear of death.;;;;;;;;;x 
EVTOPTA105250;If [Root.Liege.GetTitledFirstName] would die because I am immune, even better!;;;;;;;;;x 
EVTTOOLTIP105251;[Root.GetTitledFirstName] finds out about ;;;;;;;;;x 
EVTOPTB105250;It is my job to keep my liege safe, I shouldn't try to become immune to poisons!;;;;;;;;;x 
EVTDESC105251;The food tasted a bit strange, something was hidden beneath the seasoning but I trusted Food Taster [From.GetTitledFirstName] would never serve me anything that might be poisoned. Oh, how I regretted that trust later that evening, when the stomach pains erupted...;;;;;;;;;x 
EVTOPTD105251;For Foodtaster is death! I mean, kill [From.GetHerHim]!;;;;;;;;;x 
EVTTOOLTIPA105253;Food Taster [This.GetTitledFirstName] is imprisoned by the lunatic [Root.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIPB105253;The poison caused nothing more than stomach cramps, Food Taster [This.GetTitledFirstName] is imprisoned;;;;;;;;;x 
EVTTOOLTIPC105253;[Root.GetTitledFirstName]'s imprisons Food Taster [This.GetTitledFirstName] but would rather see [This.GetHerHim] dead;;;;;;;;;x 
EVTDESC105253;My plan to become immune to poisons did not turn out so good, I missed the poisoned food intended for [From.GetTitledFirstName] and that is how I ended up in [From.GetTitledFirstName]'s dungeon...;;;;;;;;;x 
EVTOPTA105253;[From.GetTitledFirstName] became gravely ill by the poisoned food;;;;;;;;;x 
EVTOPTB105253;The poison did not even make [From.GetTitledFirstName] sick!;;;;;;;;;x 
EVTOPTC105253;I fear the poison made [From.GetTitledFirstName] mad;;;;;;;;;x 
EVTDESC106000;A man named Al-Ghazali has returned to [Root.GetName] after seven years of studying fiqh, the expansion of the code of conduct called sharia. His scholarly interest in sufism, kalam, philosophy, logic and Islamic jurisprudence has led him to start writing a book he calls 'The Incoherence of the Philosophers' which will surely be a masterpiece when it is finished.;;;;;;;;;x 
EVTOPTA106000;I must introduce this man to my liege!;;;;;;;;;x 
EVTTOOLTIP106001;Al-Ghazali meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106001;Al-Ghazali, the scholar from [From.GetName], was well-spoken and respectful, with an incredible knowledge of sufism, kalam, philosophy, logic and fiqh. I invited him to stay at my court, to study and share his knowledge with my court.;;;;;;;;;x 
EVTOPTA106001;Stay as long as you like;;;;;;;;;x 
EVTDESC106005;A famous traveller, Muhammad al-Idrisi - a geographer, cartographer and Egyptologist - has arrived to [Root.GetName], a man who can trace his descent through long line of Princes, Caliphs and Sufi leaders, to the Prophet Muhammad. Muhammad al-Idrisi wishes to meet [Root.Holder.TopLiege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA106005;I will introduce you to [Root.Holder.TopLiege.GetHerHim] immediately!;;;;;;;;;x 
EVTTOOLTIP106006;Muhammad al-Idrisi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106006;A most fascinating man, that traveller Muhammad al-Idrisi! He is a geographer, cartographer and Egyptologist and his famous map Tabula Rogeriana has I myself many times consulted. Muhammad al-Idrisi asks for permission to stay at my court and work on his book 'Kitab nuzhat al-mushtaq' or 'A Diversion for the Man Longing to Travel to Far-Off Places'...;;;;;;;;;x 
EVTOPTA106006;Certainly! You are welcome to stay here as long as you'd like;;;;;;;;;x 
EVTDESC106010;A prominent scholar in [Root.GetName] - Ibn Khaldun - who is currently working on the first book of seven of 'Kitabu l-'ibar wa Diwanu l-Mubtada' wa l-Habar fi tarikhi l-'arab wa l-Barbar wa man 'Asarahum min Ðawi Ash-Sha'n l-Akbar' or 'Book of lessons, Record of Beginnings and Events in the history of the Arabs and Berbers and their Powerful Contemporaries' is looking for a patron and is humbly asking me to present him to [Root.Holder.TopLiege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA106010;I would be honored to!;;;;;;;;;x 
EVTTOOLTIP106011;Ibn Khaldun meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106011;Ibn Khaldun from [From.GetName] honored me when he allowed me to thumb through the first few pages of 'Book of lessons, Record of Beginnings and Events in the history of the Arabs and Berbers and their Powerful Contemporaries', a book that would grow into seven books over several years.;;;;;;;;;x 
EVTOPTA106011;I would be honored to have you as my guest while you work on your book;;;;;;;;;x 
EVTDESC106015;Zakariya al-Qazwini from [Root.GetName], who has written a cosmography titled 'Athar al-bilad wa-akhbar al-‘ibad' or 'Marvels of Creatures and Strange Things Existing', is currently working on a geographical dictionary and is keen on talking to [Root.Holder.TopLiege.GetTitledFirstName] to ask for [Root.Holder.TopLiege.GetHerHis] patronage.;;;;;;;;;x 
EVTOPTA106015;I will take you to [Root.Holder.TopLiege.GetHerHim];;;;;;;;;x 
EVTTOOLTIP106016;Zakariya al-Qazwini meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106016;I am more than familiar with Zakariya al-Qazwini from [Root.GetName], his cosmography titled 'Athar al-bilad wa-akhbar al-‘ibad' or 'Marvels of Creatures and Strange Things Existing' has long delighted me and taught me more about the strange animals and creatures in our world. Now he is working on yet another book, this time a geographical dictionary and he has asked me for my patronage.;;;;;;;;;x 
EVTOPTA106016;I cannot wait to read your next book!;;;;;;;;;x 
EVTDESC106020;A young scholar and teacher named Al-Juwayni in [Root.GetName], originally from Nishapur, has requested an audience with [Root.Holder.TopLiege.GetTitledFirstName] to ask for permission to teach the Ashari theological perspective to all who wishes to learn more.;;;;;;;;;x 
EVTOPTA106020;Let me see what I can do...;;;;;;;;;x 
EVTTOOLTIP106021;Al-Juwayni meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106021;I have been fascinated with the Ashari theological perspective, especially the notion that complete comprehension of the Unique Nature and Attributes of Allah is beyond the capacity of human reasoning and sense experience. The young scholar Al-Juwayni, a teacher of the Ashari theological perspective has asked my permission to start teaching all who wishes in [From.GetName].;;;;;;;;;x 
EVTOPTA106021;Excellent! You have my permission;;;;;;;;;x 
EVTDESC106025;In [Root.GetName], a prominent scholar named Kamal al-Din al-Farisi has just published his first book titled 'Asas al-qawa'id fi usul al-fawa'id' or 'The base of the rules in the principles of uses' and he is eager to show it to [Root.Holder.TopLiege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA106025;[Root.Holder.TopLiege.GetTitledFirstName] is as eager to meet you as you are to meet [Root.Holder.TopLiege.GetHerHim]!;;;;;;;;;x 
EVTTOOLTIP106026;Kamal al-Din al-Farisi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106026;Five chapters of arithmetic, notarial and sales rules, the areas of surfaces and solids, with the last two essays are on algebra, the book 'Asas al-qawa'id fi usul al-fawa'id' or 'The base of the rules in the principles of uses' written by Kamal al-Din al-Farisi is fascinating if you enjoy arithmetic. The man himself has asked for my patronage.;;;;;;;;;x 
EVTOPTA106026;A renowned scholar like you is always welcomed at my court;;;;;;;;;x 
EVTDESC106030;A physician in [Root.GetName], Rashid-al-Din Hamadani, is writing a book he will call 'Jami' al-tawarikh' or 'Compendium of Chronicles', a book that will encompass all the history of the world as it has been when it is finished. The cost of producing this book is too great for a mere physician and so he has come to ask [Root.Holder.TopLiege.GetTitledFirstName] if [Root.Holder.TopLiege.GetSheHe] would be willing to help produce the book.;;;;;;;;;x 
EVTOPTA106030;[Root.Holder.TopLiege.GetTitledFirstName] will see if this is agreeable;;;;;;;;;x 
EVTTOOLTIP106031;Rashid al-Din Hamadani meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106031;A book on world history and you want me to help produce it? Rashid al-Din Hamadani, though your idea sound reasonable enough, why would you consider me to help you produce 'Jami' al-tawarikh' or 'Compendium of Chronicles'? I am interested though...;;;;;;;;;x 
EVTOPTA106031;Let us see what we can do together...;;;;;;;;;x 
EVTDESC106035;Ibn al-Nafis studied medicine, jurisprudence, literature and theology at Bimaristan Al-Noori in [Root.GetName]. His book 'Kitab al-Mukhtar fi al-Aghdhiya' on the effects of diet on health has been praised as one of the most important work on medicine in several years. The man is now looking for work, maybe as a physician at [Root.Holder.TopLiege.GetTitledFirstName]'s court.;;;;;;;;;x 
EVTOPTA106035;[Root.Holder.TopLiege.GetTitledFirstName] would be pleased to have you as [Root.Holder.TopLiege.GetHerHis] physician;;;;;;;;;x 
EVTTOOLTIP106036;Ibn al-Nafis meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106036;I have never doubted that what you eat affects your health, but Ibn al-Nafis book 'Kitab al-Mukhtar fi al-Aghdhiya' made me realize how your health could deteriorate if you weren't too careful with what you ate or drank. I was therefore both grateful and honored when the physician Ibn al-Nafis asked me for a place in my court.;;;;;;;;;x 
EVTOPTA106036;I would never refuse such a great physician anything!;;;;;;;;;x 
EVTDESC106040;The book 'Kitab al-Mu'tabar' or 'The Book of What Has Been Established by Personal Reflection' by Abu'l-Barakat al-Baghdadi has recently been produced in [Root.GetName] and [Root.Holder.TopLiege.GetTitledFirstName] is most curious of the man to write such an anti-Aristotelian philosophical work.;;;;;;;;;x 
EVTOPTA106040;My liege wishes to talk to you, Abu'l-Barakat al-Baghdadi;;;;;;;;;x 
EVTTOOLTIP106041;Abu'l-Barakat al-Baghdadi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106041;An extraordinary anti-Aristotelian philosophical work 'Kitab al-Mu'tabar' or 'The Book of What Has Been Established by Personal Reflection', but who is the man behind the book, this Abu'l-Barakat al-Baghdadi? After hours of discussing philosophy with Abu'l-Barakat al-Baghdadi I offered him a place at my court, to make sure he could continue writing his books.;;;;;;;;;x 
EVTOPTA106041;Welcome!;;;;;;;;;x 
EVTDESC106045;Avempace or Abu-Bakr Muhammad ibn Yahya ibn al-Sayigh, an astronomer, logician, musician, philosopher, physician, physicist, psychologist, botanist, poet and scientist in [Root.GetName] has caught [Root.Holder.TopLiege.GetTitledFirstName] attention with his book 'Kitab al-Nabat' or 'The Book of Plants' and his other works.;;;;;;;;;x 
EVTOPTA106045;Avempace, [Root.Holder.TopLiege.GetTitledFirstName] would like to meet you;;;;;;;;;x 
EVTTOOLTIP106046;Avempace meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106046;'Knowledge cannot be acquired by senses alone but by Active Intelligence, which is the governing intelligence of nature'\nA great quote from a great man, Avempace has been brought to my attention by his book 'Kitab al-Nabat' or 'The Book of Plants' and the essay 'Recognition of the Active Intelligence'. The man gladly accepted a place at my court.;;;;;;;;;x 
EVTOPTA106046;Welcome, and don't hesitate to ask if you need anything at all;;;;;;;;;x 
vassal_fatwa_decision;Suggest Fatwa Against [Root.GetTitledFirstName];;;;;;;;;x 
vassal_fatwa_decision_desc;[Root.GetTitledName] is known for the decadent ways of [Root.GetHerHis] dynasty. Convince your [From.GetLordSpiritualName] to issue a fatwa against [Root.GetHerHim]. This would make it easier to revoke titles and grant them to someone more deserving...;;;;;;;;;x 
EVTTOOLTIP88750;You suggest someone deserving of a fatwa to your [From.GetLordSpiritualName].;;;;;;;;;x 
EVTDESC106050;The poet Nizami Ganjavi from [Root.GetName] has completed his epic 'Khosrow and Shirin', a tragic love story. Even [Root.Holder.TopLiege.GetTitledFirstName] has heard of the epic and has sent for Nizami Ganjavi...;;;;;;;;;x 
EVTOPTA106050;I'll take him to [Root.Holder.TopLiege.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIP106051;Nizami Ganjavi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106051;I offered my condolences to Nizami Ganjavi, whose wife died not long after he completed his epic 'Khosrow and Shirin', a tragic love story. The more I talked to the poet from [From.GetName], the more I wanted Nizami Ganjavi to stay at my court and entertain me with his poetry.;;;;;;;;;x 
EVTOPTA106051;'Stay awhile and listen...';;;;;;;;;x 
EVTDESC106055;'Nafa'is al-funun fi ‘ara'is al-‘uyun', a Persian encyclopedia on the classification of knowledge by Muhammad ibn Mahmud al-Amuli is widely-read in [Root.GetName]. The man wishes to speak with [Root.Holder.TopLiege.GetTitledFirstName] and present to [Root.Holder.TopLiege.GetHerHim] a copy of his book as a gift...;;;;;;;;;x 
EVTOPTA106055;I don't think [Root.Holder.TopLiege.GetTitledFirstName] would oppose such a gift;;;;;;;;;x 
EVTTOOLTIP106056;Muhammad ibn Mahmud al-Amuli meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106056;I have heard of the scholar from [From.GetName] and his Persian encyclopedia on the classification of knowledge titled 'Nafa'is al-funun fi ‘ara'is al-‘uyun', the man named Muhammad ibn Mahmud al-Amuli, and I had been wanting to read his book since I first heard of it. Muhammad ibn Mahmud al-Amuli came to my court to give me a copy of his book.;;;;;;;;;x 
EVTOPTA106056;Thank you, that was most gracious of you!;;;;;;;;;x 
EVTDESC106060;A man with many passions, Jalal ad-Din Muhammad Balkhi or Rumi believes passionately in the use of music, poetry and dance as a path for reaching Allah and the people of [Root.GetName] says of him: 'He is not a prophet — but surely, he has brought a scripture'.;;;;;;;;;x 
EVTOPTA106060;This is a man [Root.Holder.TopLiege.GetTitledFirstName] should meet!;;;;;;;;;x 
EVTTOOLTIP106061;Rumi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106061;The book 'Matnawiye Ma'nawi' or 'Spiritual Couplets' is by some Sufis regarded as a Persian Qur'an and the author Jalal ad-Din Muhammad Balkhi or Rumi believes passionately in the use of music, poetry and dance as a path for reaching Allah. His words and teachings are intriguing and I wish to know more about Rumi and his philosophy.;;;;;;;;;x 
EVTOPTA106061;Tell me more, teach me how to reach Allah through the divine arts!;;;;;;;;;x 
EVTDESC106065;Baha-ud-Din Naqshband Bukhari from [Root.GetName], the founder and spiritual master of Naqshbandi, is requesting an audience with [Root.Holder.TopLiege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA106065;It must be important if he is requesting an audience with the [Root.Holder.TopLiege.GetTitle]!;;;;;;;;;x 
EVTTOOLTIP106066;Baha-ud-Din Naqshband meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106066;The Sufi order Naqshbandi is well-known in [From.GetName] and its founder and spiritual Master Baha-ud-Din Naqshband Bukhari has come to discuss some important matters with me, possibly involving their eleven principal teachings, such as for example Remembrance, Restraint or Recollection.;;;;;;;;;x 
EVTOPTA106066;And a most giving meeting it was;;;;;;;;;x 
EVTDESC106070;The Persian philosopher Shahab al-Din Suhrawardi is the founder of Oriental Theosophy in [Root.GetName], whose Islamic Mysticism school draws upon Zoroastrian and Platonic ideas. [Root.Holder.TopLiege.GetTitledFirstName] is more than interested to meet Shahab al-Din Suhrawardi and discuss his latest book 'Partaw Nama' or 'Treatise on Illumination'.;;;;;;;;;x 
EVTOPTA106070;Very well, then;;;;;;;;;x 
EVTTOOLTIP106071;Shahab al-Din Suhrawardi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106071;The Islamic Mysticism school Oriental Theosophy founded by Shahab al-Din Suhrawardi, an Persian philosopher, draws upon Zoroastrian and Platonic ideas. Lately I have been struggling with some philosophical problems myself, but after talking to Shahab al-Din Suhrawardi and reading his 'Partaw Nama' or 'Treatise on Illumination' I feel as if my questions has been answered.;;;;;;;;;x 
EVTOPTA106071;Stay and tell me more about the Oriental Theosophy;;;;;;;;;x 
EVTDESC106075;Athir al-Din al-Abhari from [Root.GetName] has written many books about astronomy, mathematics and philosophy, among them are 'Kitab al-Hidayah' or 'Guide on Philosophy' and 'Risala fi al-hay'a' or 'Treatise on astronomy'.;;;;;;;;;x 
EVTOPTA106075;[Root.Holder.TopLiege.GetTitledFirstName] has expressed an wish to meet him;;;;;;;;;x 
EVTTOOLTIP106076;Athir al-Din al-Abhari meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106076;I have invited Athir al-Din al-Abhari from [Root.GetName], the author of 'Kitab al-Hidayah' or 'Guide on Philosophy' and 'Risala fi al-hay'a' or 'Treatise on astronomy', to come to my court so that I may have someone to discuss philosophy with.;;;;;;;;;x 
EVTOPTA106076;He graciously accepted my invite;;;;;;;;;x 
EVTDESC106080;Nasir al-Din al-Tusi from [Root.GetName], famous for his book 'Al-Tadhkirah fi'ilm al-hay'ah' or 'A memoir on the science of astronomy', wants to convince [Root.Holder.TopLiege.GetTitledFirstName] to construct an observatory for establishing accurate astronomical tables for better astrological predictions.;;;;;;;;;x 
EVTOPTA106080;Go ahead, I believe you are able to convince [Root.Holder.TopLiege.GetHerHim];;;;;;;;;x 
EVTTOOLTIP106081;Nasir al-Din al-Tusi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106081;'An observatory? What for? 'Establishing accurate astronomical tables for better astrological predictions', what does that even mean? I will have to think about it.'\nNasir al-Din al-Tusi from [From.GetName] famous for his book 'Al-Tadhkirah fi'ilm al-hay'ah' or 'A memoir on the science of astronomy' wants permission from me to build an observatory.;;;;;;;;;x 
EVTOPTA106081;I will give you my permission, nothing more!;;;;;;;;;x 
EVTDESC106085;Abu Merwan ’Abdal-Malik ibn Zuhr from [Root.GetName] has improved surgical and medical knowledge by keying out several diseases and their treatments. He has completed a book, 'Al-Taisir Fil-Mudawat Wal-Tadbeer' or 'Book of Simplification Concerning Therapeutics and Diet' which he wishes to present to [Root.Holder.TopLiege.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA106085;[Root.Holder.TopLiege.GetTitledFirstName] will welcome Ibn Zuhr warmly to [Root.Holder.TopLiege.GetHerHis] court;;;;;;;;;x 
EVTTOOLTIP106086;Ibn Zuhr meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106086;'Al-Taisir Fil-Mudawat Wal-Tadbeer' or 'Book of Simplification Concerning Therapeutics and Diet' was given to me by its author Abu Merwan ’Abdal-Malik ibn Zuhr with hopes of gaining my favor. The man is a renowned physician who improved surgical and medical knowledge by keying out several diseases and their treatments.;;;;;;;;;x 
EVTOPTA106086;My house is your house;;;;;;;;;x 
EVTDESC106090;Mir Sayyid Ali Hamadani has returned to [Root.GetName] after travelling far and wide. He is preaching Islam to the unbelievers and his book 'Dah Qa’idah' which gives ten rules of contemplative life is one of the most widely known and read books at this time.;;;;;;;;;x 
EVTOPTA106090;[Root.Holder.TopLiege.GetTitledFirstName] will greet Mir Sayyid Ali Hamadani warmly;;;;;;;;;x 
EVTTOOLTIP106091;Mir Sayyid Ali Hamadani meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106091;He has travelled for many years, undertaken Hajj thrice and written many treatises and tracts regarding religion, including the 'Dah Qa’idah' which gives ten rules of contemplative life. Mir Sayyid Ali Hamadani is most welcome at my court.;;;;;;;;;x 
EVTOPTA106091;Rest, my friend, and tell me of your travels;;;;;;;;;x 
EVTDESC106095;Qutb al-Din al-Shirazi from [Root.GetName], a master chess player, player of the musical instrument Rabab and contributor to astronomy, mathematics, medicine, physics, music theory, philosophy and Sufism has an insatiable desire for learning and wishes to stay at [Root.Holder.TopLiege.GetTitledFirstName] to be able to concentrate on some of his research.;;;;;;;;;x 
EVTOPTA106095;[Root.Holder.TopLiege.GetTitledFirstName] would surely not deny this man a place at court!;;;;;;;;;x 
EVTTOOLTIP106096;Qutb al-Din al-Shirazi meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106096;I have a fondness for the musical instrument Rabab and have been looking for someone to teach me how to play chess. I praised Allah when Qutb al-Din al-Shirazi, a master chess player, player of the Rabab and contributor to astronomy, mathematics, medicine, physics, music theory, philosophy and Sufism wishes to stay at my court to be able to concentrate on some of his research.;;;;;;;;;x 
EVTOPTA106096;You may stay, if you teach me how to play chess;;;;;;;;;x 
EVTDESC106100;Al-Dakhwar started his work as an oculist at the Nuri Hospital of [Root.GetName] and then continued studying medicine with Ibn al-Matran. His book 'al-Janinah' or 'The Embryo' and the poetry book 'Kitab ul-Aghani', a summarized version of 'The Book of Songs' by al-Isfahani, has made him famous beyond [Root.GetName].;;;;;;;;;x 
EVTOPTA106100;The [Root.Holder.TopLiege.GetTitle] couldn't wish for a better physician;;;;;;;;;x 
EVTTOOLTIP106101;Al-Dakhwar meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106101;I offered Al-Dakhwar, the author of 'al-Janinah' or 'The Embryo', a former oculist at the Nuri Hospital of [From.GetName] and student of Ibn al-Matran, 30 dinars a month as my chief of medicine but he refused! He said: 'I know my ability in this field and I will not take less than 100 dinars a month!';;;;;;;;;x 
EVTOPTA106101;100 dinars a month, then!;;;;;;;;;x 
EVTOPTB106101;No, you will be satisfied with 30 dinars or nothing!;;;;;;;;;x 
EVTDESC106105;An older man, Zayn al-Din, who was a pupil of Ibn Abi Sadiq and Ahmad ibn Farrokh, has arrived to [Root.GetName] and is asking for a place at [Root.Holder.TopLiege.GetTitledFirstName]'s court as court physician while working on his medical encyclopedia 'Thesaurus of the Shah of Khwarazm'. So far only five of ten volumes has been finished, on anatomy, physiology, hygiene, diagnosis and prognosis.;;;;;;;;;x 
EVTOPTA106105;I doubt the [Root.Holder.TopLiege.GetTitle] would want an old man as [Root.Holder.TopLiege.GetHerHis] court physician;;;;;;;;;x 
EVTTOOLTIP106106;Zayn al-Din Gorgani meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106106;It was an impressive work, the incomplete medical encyclopedia 'Thesaurus of the Shah of Khwarazm', that Zayn al-Din presented to me. At first I was hesitant but the pupil of Ibn Abi Sadiq and Ahmad ibn Farrokh persisted, Zayn al-Din managed to convince me and I accepted him as my court physician.;;;;;;;;;x 
EVTOPTA106106;Could you take a look at my tooth? It aches!;;;;;;;;;x 
EVTDESC106110;A compilation of the beautiful sketches of flowers, plants and trees in different stages of their growth made by a professional painter employed by Rashidun al-Suri, a physician and botanist in [Root.GetName], is very popular at the moment.;;;;;;;;;x 
EVTOPTA106110;This book and the man should be brought to [Root.Holder.TopLiege.GetTitledFirstName]'s attention;;;;;;;;;x 
EVTTOOLTIP106111;Rashidun al-Suri meets [This.GetTitledFirstName];;;;;;;;;x 
EVTDESC106111;The physician and botanist Rashidun al-Suri seemed embarrassed by all the compliments and praise his work had gotten, Rashidun al-Suri told us he just wanted sketches of flowers, plants and trees in different stages of their growth to be able to study them more thoroughly but the painter he had employed had compiled a collection of the sketches and started to sell them in [From.GetName].;;;;;;;;;x 
EVTOPTA106111;Stay at my court as my physician, I wish to learn more about you and botany;;;;;;;;;x 
EVTDESC106115;After many years of travelling, his visits included Bugia, Constantinople, Tunis and Barqa, Ibn al-Baitar has returned to [Root.GetName] with a large collection of plants. He has during his travels recorded the discoveries made by other physicians and added 300 to 400 new types of medicine to the one thousand previously known.;;;;;;;;;x 
