EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
city_duke_of_hispanic;Proconsul;;;;;;;;;x 
city_duchy_of_hispanic;Province of;;;;;;;;;x 
king_hispanic;Rex;;;;;;;;;x 
king_female_hispanic;Regina;;;;;;;;;x 
city_king_hispanic;Consul;;;;;;;;;x 
city_kingdom_of_hispanic;Republic of;;;;;;;;;x 
emperor_hispanic;Imperator;;;;;;;;;x 
emperor_female_hispanic;Imperatrix;;;;;;;;;x 
city_emperor_hispanic;Princeps;;;;;;;;;x 
city_empire_of_hispanic;Republic of;;;;;;;;;x 
vice_royalty_count_hispanic;Rector;;;;;;;;;x 
vice_royalty_count_female_hispanic;Rectrix;;;;;;;;;x 
vice_royalty_county_of_hispanic;Coventus of;;;;;;;;;x 
vice_royalty_duke_hispanic;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_hispanic;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_hispanic;Province of;;;;;;;;;x 
vice_royalty_king_hispanic;Exarch;;;;;;;;;x 
vice_royalty_king_female_hispanic;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_hispanic;Exarchate of;;;;;;;;;x 
baron_african;Nobilus;;;;;;;;;x 
baron_female_african;Nobilia;;;;;;;;;x 
barony_of_african;Castra of;;;;;;;;;x 
city_baron_african;Curator;;;;;;;;;x 
count_african;Comes;;;;;;;;;x 
count_female_african;Comitissa;;;;;;;;;x 
county_of_african;Comitatus of;;;;;;;;;x 
city_count_african;Prefect;;;;;;;;;x 
duke_african;Dux;;;;;;;;;x 
duke_female_african;Ducissa;;;;;;;;;x 
duchy_of_african;Ducate of;;;;;;;;;x 
city_duke_of_african;Proconsul;;;;;;;;;x 
city_duchy_of_african;Province of;;;;;;;;;x 
king_african;Rex;;;;;;;;;x 
king_female_african;Regina;;;;;;;;;x 
city_king_african;Consul;;;;;;;;;x 
city_kingdom_of_african;Republic of;;;;;;;;;x 
emperor_african;Imperator;;;;;;;;;x 
emperor_female_african;Imperatrix;;;;;;;;;x 
city_emperor_african;Princeps;;;;;;;;;x 
city_empire_of_african;Republic of;;;;;;;;;x 
vice_royalty_count_african;Rector;;;;;;;;;x 
vice_royalty_count_female_african;Rectrix;;;;;;;;;x 
vice_royalty_county_of_african;Coventus of;;;;;;;;;x 
vice_royalty_duke_african;Vicarius;;;;;;;;;x 
vice_royalty_duke_female_african;Vicaria;;;;;;;;;x 
vice_royalty_duchy_of_african;Province of;;;;;;;;;x 
vice_royalty_king_african;Exarch;;;;;;;;;x 
vice_royalty_king_female_african;Exarchessa;;;;;;;;;x 
vice_royalty_kingdom_of_african;Exarchate of;;;;;;;;;x 
e_western;Western Roman Empire;;;;;;;;;x 
e_western_adj;Western Roman;;;;;;;;;x 
form_foderati;Form the Foderati Auxillia;;;;;;;;;x 
form_foderati_desc;Since the time of Augustus, Rome has employed barbarians as bodyguards. Although they are uncivilised, they are loyal and ferocious in combat. If you have the funds, you could recruit veteran auxiliaries into a new unit.;;;;;;;;;x 
form_scholae;Form the Scholae Palatinae;;;;;;;;;x 
form_scholae_desc;The Scholae Palatinae were originally established as the successors to the Praetorian Guard under Emperor Constantine. The Scholae largely disappeared after the fall of Rome, but could form them if you have the necessary funds.;;;;;;;;;x 
form_nobiles;Form the Corhotes Nobiles;;;;;;;;;x 
form_nobiles_desc;The restoration of the Empire has left behind many orphans, an unfortunate but unavoidable result of war. You could recruit them into a new heavy cavalry unit, the Cohortes Nobiles (Noble Cohorts), if you have the necessary funds.;;;;;;;;;x 
title_prince_gallic;Princeps;;;;;;;;;x 
title_prince_female_gallic;Principissa;;;;;;;;;x 
title_prince_hispanic;Princeps;;;;;;;;;x 
title_prince_female_hispanic;Principissa;;;;;;;;;x 
title_prince_african;Princeps;;;;;;;;;x 
title_prince_female_african;Principissa;;;;;;;;;x 
qaisar;Qaisar;;;;;;;;;x 
qaisar_desc;This character is the ruler of Imperial Rum, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
qaisara;Qaisara;;;;;;;;;x 
qaisara_desc;This character is the ruler of Imperial Rum, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
k_cilicia;Cilicia;;;;;;;;;x 
k_cilicia_adj;Cilician;;;;;;;;;x 
imperator;Imperator;;;;;;;;;x 
imperator_desc;This character is the ruler of the restored Western Roman Empire, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
imperatrix;Imperatrix;;;;;;;;;x 
imperatrix_desc;This character is the ruler of the restored Western Roman Empire, and commands the respect an office of such magnitude is due.;;;;;;;;;x 
RETTYPE_NAT_MAC;Hoplite;;;;;;;;;x 
RETTYPE_NAT_MAC_2;Companion;;;;;;;;;x 
RETTYPE_CUL_IRAN;Paighan;;;;;;;;;x 
RETTYPE_GEN_RAID;Raiders;;;;;;;;;x 
EVTDESCPA.10313;You are the current ruler of Imperial Rum. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10314;You are the no longer the ruler of Imperial Rum. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10315;You are the current ruler of Imperial Rum. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10316;You are the no longer the ruler of Imperial Rum. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10317;You are the current ruler of the Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10318;You are the no longer the ruler of the Western Roman Empire. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
EVTDESCPA.10319;You are the current ruler of Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10320;You are the no longer the ruler of the Western Roman Empire. It will surely crumble without your guiding hand to lead it!;;;;;;;;;x 
revive_roman_culture2;Revive Roman Culture;;;;;;;;;x 
revive_roman_culture2_desc;Rome has been restored to its former glory, but its once rich language and culture is dead. You can attempt to restore it if you wish.;;;;;;;;;x 
restore_ostrogothia;Restore the Ostrogothic Kingdom.;;;;;;;;;x 
restore_ostrogothia_desc;Restore the Ostrogothic kingdom.;;;;;;;;;x 
migrate_to_italy;Migrate to Italy;;;;;;;;;x 
migrate_to_italy_desc;Move the Ostrogoths to Italy.;;;;;;;;;x 
restore_ostrogothia2;Restore the Ostrogothic Kingdom;;;;;;;;;x 
restore_ostrogothia2_desc;Restore the Ostrogothic kingdom.;;;;;;;;;x 
incorporate_sicily;Incorporate Sicily;;;;;;;;;x 
incorporate_sicily_desc;Extend Ostrogothia over Sicily.;;;;;;;;;x 
CB_NAME_IMPERIAL4;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL4;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest4_desc;The territory of the Gallic Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_IMPERIAL5;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL5;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest5_desc;The territory of the Palmyrene Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
c_philadelphia;Philadelphia;;;;;;;;;x 
c_sangarios;Sangarios;;;;;;;;;x 
b_sangarios;Sangarios;;;;;;;;;x 
PROV750;Sangarios;;;;;;;;;x 
PROV748;Philadelphia;;;;;;;;;x 
PROV742;Nikaea;;;;;;;;;x 
c_nikaea;Nikaea;;;;;;;;;x 
b_nikaea;Nikaea;;;;;;;;;x 
b_chonae;Chonae;;;;;;;;;x 
b_thebasion;Thebasion;;;;;;;;;x 
b_armenokastron;Armenokastron;;;;;;;;;x 
b_leukai;Leukai;;;;;;;;;x 
b_lamounia;Lamounia;;;;;;;;;x 
b_doris;Doris;;;;;;;;;x 
b_geyve;Geyve;;;;;;;;;x 
b_tarsia;Tarsia;;;;;;;;;x 
AUGUR;Augur;;;;;;;;;x 
EVTNAMEPA.10328;Fall of Trebizond;;;;;;;;;x 
EVTDESCPA.10328;The great Empire of Trebizond has fallen. With the loss of Trebizond itself to foreign powers, the Empire has completely collapsed. The unity of the Pontic Greeks has been shattered for now, but the future may see it return.;;;;;;;;;x 
form_golden_horde;Form the Golden Horde;;;;;;;;;x 
form_golden_horde_desc;Form the Golden Horde.;;;;;;;;;x 
form_ilkhanate;Form the Ilkhanate;;;;;;;;;x 
form_ilkhanate_desc;Form the Ilkhanate.;;;;;;;;;x 
form_golden_horde2;Declare Independence;;;;;;;;;x 
form_golden_horde2_desc;Formally break off form the Mongol Empire and assume your imperial throne.;;;;;;;;;x 
form_ilkhanate2;Declare Independence;;;;;;;;;x 
form_ilkhanate2_desc;Formally break off form the Mongol Empire and assume your imperial throne.;;;;;;;;;x 
PROV1466;Lemnos;;;;;;;;;x 
c_lemnos;Lemnos;;;;;;;;;x 
b_kastro;Kastro;;;;;;;;;x 
b_moudros;Moudros;;;;;;;;;x 
b_romanou;Romanou;;;;;;;;;x 
c_amorion;Amorion;;;;;;;;;x 
b_amorion;Amorion;;;;;;;;;x 
PROV749;Amorion;;;;;;;;;x 
d_egyptian_pagan_reformed;Pharoah;;;;;;x
d_pharaoh;Pharoah;;;;;;x
e_egypt;Empire of Egypt;;;;;;;x
d_danube;Danube;;;;;x
b_argyropolis_2;Argyropolis;;;;;;;x
b_citharizum_2;Citharizum;;;;;;;x
b_satala_2;Satala;;;;;;;x
b_thera_2;Thera;;;;;;;x
b_oukhiti_2;Aukhiti;;;;;;;x
b_askale_2;Askale;;;;;;;x
b_tortum_2;Torum;;;;;;;x
k_exilarchate;Exilarachate;;;;;;;x
e_slavinia;Slavinia;;;;;;;x
e_khorramdin;Khorramdin;;;;;;;x
k_italia;Italia;;;;;;;x
d_saint_maron;Order of Saint Maron;;;;;;;x
b_pierleoni;Pierleoni;;;;;;;x
b_da_brescia;Da Brescia;;;;;;;x
b_romano;Romano;;;;;;;x
b_frangipani;Frangipani;;;;;;;x
b_cresenti;Cresenti;;;;;;;x
b_normanni;Normanni;;;;;;;x
b_savelli;Savelli;;;;;;;x
d_guardians_of_light;Guardians of Light;;;;;;;x
d_zhayedan_1;Zhayedan;;;;;;;x
d_zhayedan_2;Zhayedan;;;;;;;x
k_governate_persia;Governate of Persia;;;;;;;x
PROV792;Nubian Desert;;;;;;x
EVTDESCPA.100289;Decline of the Frankish Empire, after many years, the empire has begun to slowly but surely enter a period of decline putting the future hegemony of the empire at risk;;;;;;x
EVTDESCPA.100290;After a turbluent number of years, the worst has passed and our period of decline has halted;;;;;;;x
